,dice,RVE,Sens,Spec,HD95
Liverarterial_002.nii.gz,3.3041576215351767e-16,1.0,0.0,1.0,10000000000.0
Liverarterial_004.nii.gz,0.7958461175359941,1.3520569620253164,0.0,1.0,270.60623
Liverarterial_005.nii.gz,4.003497455377018e-17,0.460126799219773,0.0,1.0,198.28607
Liverarterial_006.nii.gz,1.9851510699964226e-15,1.0,0.0,1.0,10000000000.0
Liverarterial_012.nii.gz,1.7162260238465514,0.16887370069770755,0.0,1.0,2.0
Liverarterial_015.nii.gz,7.610350076102921e-14,1.0,0.0,1.0,10000000000.0
Liverarterial_021.nii.gz,1.0278643753514011e-16,51.37343647136274,0.0,1.0,674.0017
Liverarterial_023.nii.gz,0.6687082405345243,0.4344036030800523,0.523463605985762,0.9999941328494053,9.0
