,dice,RVE,Sens,Spec,HD95
Liverarterial_001.nii.gz,0.7049149002062429,0.5543351940406561,0.0,0.9991838213953708,10.853005
Liverarterial_002.nii.gz,1.3719899384673369,0.7901925993477593,0.0,0.9999809663735009,9.0
Liverarterial_003.nii.gz,0.6379224238388607,0.9133502170767004,0.0,1.0,3.828427
Liverarterial_004.nii.gz,0.4876273653566323,0.9129746835443038,0.0,0.9999976728863691,3.4142137
Liverarterial_005.nii.gz,1.2135704772387341,0.5174102332050217,0.0,0.9993392033314978,22.756626
Liverarterial_006.nii.gz,0.6197256102499318,0.774427283916306,0.0,0.9999427973186513,6.0
Liverarterial_007.nii.gz,1.357001039370111,0.7864462221059784,0.0,0.9970324105067754,53.0
Liverarterial_008.nii.gz,0.2784121805329376,0.9455275229357798,0.0,0.9999989441306129,3.4641016
Liverarterial_009.nii.gz,0.7871229698375901,0.745269286754003,0.0,0.9999948616605269,2.4142137
Liverarterial_010.nii.gz,0.7901836969001164,0.6174603174603175,0.0,0.9999624255938186,6.2925286
Liverarterial_011.nii.gz,0.9283202984860445,0.6770136219089657,0.0,0.999973274744574,8.342417
Liverarterial_012.nii.gz,0.9532002020900364,0.5365217729696073,0.0,0.999761194235371,9.828426
Liverarterial_013.nii.gz,0.6286990508096088,0.8217105263157894,0.0,0.9999897360546671,3.1462643
Liverarterial_014.nii.gz,0.473227944926085,0.8807077625570776,0.0,0.9999968323916226,2.732051
Liverarterial_015.nii.gz,0.8231771223237018,0.8774789915966387,0.0,0.9999975178383446,3.1462643
Liverarterial_016.nii.gz,0.29074355083460324,0.9315823605706874,0.0,0.9999916013899078,4.464102
Liverarterial_017.nii.gz,0.648243189893414,0.6896016554578376,0.0,0.9999923330089394,4.878315
Liverarterial_018.nii.gz,0.5161290322580739,0.7621006776379478,0.0,0.9999871640793875,4.146264
Liverarterial_019.nii.gz,0.2874415421466946,0.9208517971442639,0.0,0.9999895724875679,4.4142137
Liverarterial_020.nii.gz,0.42792160863835643,0.7095128373930217,0.2761136712749616,0.9999961051194369,6.8284273
Liverarterial_021.nii.gz,0.5237776289350461,0.8308535630383712,0.0,0.999999273057933,3.1462643
Liverarterial_022.nii.gz,0.5552678749253182,0.5410431497893361,0.4050559349121023,0.9999924940935496,8.660254
Liverarterial_023.nii.gz,0.4941879774161576,0.8182888540031397,0.0,0.9999951694496886,5.146264
Liverarterial_024.nii.gz,1.0272152243427655,0.37959922088236964,0.0,0.9986846939207686,16.0
Liverarterial_025.nii.gz,0.8156701416483576,0.6522807459677419,0.0,0.9999632106793707,5.146264
Liverarterial_026.nii.gz,1.0812974510809334,0.5997544932369835,0.0,0.9999620177161034,7.0
Liverarterial_027.nii.gz,0.7899810496827899,0.7304393305439331,0.0,0.9999947974214171,3.828427
